WARNING: 15 open meshes remove
     Removed: Fuselage
     Removed: Inner Fuselage
     Removed: Instrument Panel
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Turboprop Transparent
     Removed: Turboprop Transparent
     Removed: Propeller Cone
     Removed: Propeller Cone
     Removed: Power Shaft
     Removed: Power Shaft
     Removed: Electric Motor Power Shaft
     Removed: Electric Motor Power Shaft
WARNING: 6 open meshes merged
     Merged: Horizontal Stabilizer
     Merged: Truss Brace
     Merged: Galley
     Merged: Forward Bulkhead
     Merged: Overhead Bins
     Merged: Main Wing Transparent
...Mass Properties...
201 Num Comps
201 Total Num Meshes
171744 Total Num Tris

1871.570271             Total Mass
10.773449 -0.028768 -2.435520       Center of Gravity
336156.274379 519167.802453 799275.951889       Ixx, Iyy, Izz
1190.465318 45436.827206 107.246213       Ixy, Ixz, Iyz
1871.570271             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.498011	-7.259612	-1.992857	-5.115070	0.013998	1.101906	1.108672	-0.001864	0.000093	-0.000295	0.498011
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.498011	-7.259612	-1.307143	-5.115070	0.014001	1.101906	1.108675	0.000984	-0.000001	-0.000287	0.498011
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.520426	-7.259612	-2.649267	-5.123010	0.015482	1.152100	1.158829	-0.000403	-0.000186	-0.001010	0.520426
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.498011	-7.259612	-3.342857	-5.115070	0.014020	1.101906	1.108694	-0.002632	-0.000601	-0.000278	0.498011
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
